GP,Driver,Team,Stint,Compound,TyreLife,LapNumber,LapTime_sec,Sector1Time_sec,Sector2Time_sec,Sector3Time_sec,FreshTyre,LongRunID,CleanLapCount
R01_Australia,BOR,Audi,3.0,HARD,11.0,44.0,83.736,29.581,17.856,36.299,True,R01_Australia_BOR_S3,23
R01_Australia,BOR,Audi,3.0,HARD,12.0,45.0,83.257,29.395,17.8,36.062,True,R01_Australia_BOR_S3,23
R01_Australia,BOR,Audi,3.0,HARD,13.0,46.0,83.346,29.447,17.774,36.125,True,R01_Australia_BOR_S3,23
R01_Australia,BOR,Audi,3.0,HARD,14.0,47.0,83.976,29.482,17.841,36.653,True,R01_Australia_BOR_S3,23
R01_Australia,BOR,Audi,3.0,HARD,15.0,48.0,85.008,30.382,17.891,36.735,True,R01_Australia_BOR_S3,23
R01_Australia,BOR,Audi,3.0,HARD,16.0,49.0,84.889,29.559,17.87,37.46,True,R01_Australia_BOR_S3,23
R01_Australia,BOR,Audi,3.0,HARD,17.0,50.0,84.324,29.719,17.835,36.77,True,R01_Australia_BOR_S3,23
R01_Australia,BOR,Audi,3.0,HARD,18.0,51.0,85.635,29.804,18.319,37.512,True,R01_Australia_BOR_S3,23
R01_Australia,BOR,Audi,3.0,HARD,19.0,52.0,84.359,29.711,17.927,36.721,True,R01_Australia_BOR_S3,23
R01_Australia,BOR,Audi,3.0,HARD,20.0,53.0,86.063,29.756,17.889,38.418,True,R01_Australia_BOR_S3,23
